City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mataura,NZ,2021-03-28 16:08:26,-46.1927,168.8643,53.01,97,100,2.68
67,Takhtamygda,RU,2021-03-28 16:08:27,54.1,123.5667,28.89,97,100,5.84
68,Ushuaia,AR,2021-03-28 16:03:39,-54.8,-68.3,46.4,57,40,26.46
69,Rafaela,AR,2021-03-28 16:08:27,-31.2503,-61.4867,70.0,61,91,5.01
70,Northam,GB,2021-03-28 16:08:27,51.0333,-4.2167,54.0,85,100,8.99
71,Aanekoski,FI,2021-03-28 16:08:28,62.6946,25.818,39.2,81,90,9.22
72,Butaritari,KI,2021-03-28 16:08:28,3.0707,172.7902,80.46,80,23,11.79
73,Galesong,ID,2021-03-28 16:08:06,-5.3166,119.3661,75.2,100,20,1.14
74,Ustye,RU,2021-03-28 16:08:28,59.6304,39.736,27.86,95,20,3.49
75,Chardara,KZ,2021-03-28 16:08:29,41.2547,67.9692,48.49,74,100,22.75
76,Astoria,US,2021-03-28 16:08:29,46.1879,-123.8313,46.4,87,90,14.97
77,Fort Nelson,CA,2021-03-28 16:08:30,58.8053,-122.7002,14.0,85,90,11.5
78,Bluff,NZ,2021-03-28 16:08:30,-46.6,168.3333,53.01,97,100,4.5
79,Chuy,UY,2021-03-28 16:08:30,-33.6971,-53.4616,70.65,81,72,8.5
80,Oriximina,BR,2021-03-28 16:08:31,-1.7656,-55.8661,85.84,64,84,4.0
81,Berlevag,NO,2021-03-28 16:08:31,70.8578,29.0864,37.4,69,0,8.05
82,Novobessergenevka,RU,2021-03-28 16:08:31,47.1847,38.8462,44.02,72,42,2.53
83,Cabo San Lucas,MX,2021-03-28 16:08:15,22.8909,-109.9124,75.0,59,75,2.93
84,Vaini,TO,2021-03-28 16:08:31,-21.2,-175.2,77.0,100,75,8.05
85,Ponta Do Sol,PT,2021-03-28 16:08:32,32.6667,-17.1,68.0,64,20,11.5
86,Bria,CF,2021-03-28 16:08:32,6.5423,21.9863,95.81,13,4,6.8
87,Lata,PT,2021-03-28 16:08:32,40.1629,-8.3327,77.0,39,44,7.74
88,Novobirilyussy,RU,2021-03-28 16:08:32,56.9514,90.6661,32.4,93,100,7.45
89,Port Hedland,AU,2021-03-28 16:08:31,-20.3167,118.5667,82.4,57,66,6.91
90,Eureka,US,2021-03-28 16:06:35,40.8021,-124.1637,42.8,100,90,2.17
91,Sterling,US,2021-03-28 16:04:00,39.0062,-77.4286,57.99,100,90,9.22
92,San Cristobal,VE,2021-03-28 16:08:33,7.7669,-72.225,82.4,57,75,11.5
93,Geraldton,AU,2021-03-28 16:08:33,-28.7667,114.6,69.8,78,40,5.75
94,Wajima,JP,2021-03-28 16:08:33,37.4,136.9,54.54,92,95,11.63
95,Codrington,AU,2021-03-28 16:08:33,-38.2667,141.9667,55.9,93,19,5.84
