City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
458,Houma,US,66.2,clear sky,29.5958,-90.7195,
459,Upata,VE,77.0,broken clouds,8.0086,-62.3989,
460,Yichang,CN,63.0,clear sky,30.7144,111.2847,
462,Muswellbrook,AU,69.08,few clouds,-32.2667,150.9,
463,Padang,ID,73.4,light rain,-0.9492,100.3543,
465,Fuerte Olimpo,PY,78.82,scattered clouds,-21.0415,-57.8738,
467,Oriximina,BR,75.45,scattered clouds,-1.7656,-55.8661,
468,Camana,PE,71.4,broken clouds,-16.6228,-72.7111,
469,Virginia Beach,US,72.0,overcast clouds,36.8529,-75.97800000000001,
473,Burley,US,71.6,clear sky,42.5357,-113.7928,
474,Saint-Georges,GD,78.8,broken clouds,12.0564,-61.7485,
475,Mopipi,BW,71.08,clear sky,-21.1833,24.8833,
477,Pangkalanbuun,ID,76.62,light rain,-2.6833,111.6167,
478,Amapa,BR,72.21,overcast clouds,1.0,-52.0,
480,Ipora,BR,71.71,broken clouds,-16.4419,-51.1178,
482,Eirunepe,BR,74.1,overcast clouds,-6.6603,-69.8736,
487,Labuhan,ID,78.71,overcast clouds,-6.8844,112.2051,
490,Umm Lajj,SA,71.1,clear sky,25.0213,37.2685,
492,Rocha,UY,61.72,broken clouds,-34.4833,-54.3333,
496,Nioro,GM,76.62,clear sky,13.35,-15.75,
499,Batemans Bay,AU,69.01,clear sky,-35.7167,150.1833,
503,Codrington,AU,61.9,overcast clouds,-38.2667,141.9667,
505,Chake Chake,TZ,78.84,light rain,-5.2459,39.7666,
507,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,
511,Nueve De Julio,AR,64.0,broken clouds,-35.4444,-60.8831,
515,Katherine,AU,78.8,overcast clouds,-14.4667,132.2667,
516,Humaita,BR,74.07,overcast clouds,-7.5061,-63.0208,
520,Shimoda,JP,69.01,few clouds,34.6667,138.95,
521,San Quintin,MX,68.95,clear sky,30.4833,-115.95,
523,Sri Aman,MY,73.4,overcast clouds,1.2376,111.4621,
524,Ritchie,ZA,62.6,scattered clouds,-29.038,24.6028,
526,Dubai,AE,73.4,clear sky,25.2582,55.3047,
528,Russell,US,64.4,overcast clouds,32.3502,-85.1999,
529,Madikeri,IN,64.09,moderate rain,12.4167,75.7333,
538,Laje,BR,72.91,broken clouds,-10.1833,-40.9667,
539,Cedar City,US,66.2,clear sky,37.6775,-113.0619,
541,Qinzhou,CN,74.46,broken clouds,21.95,108.6167,
542,Atar,MR,76.03,broken clouds,20.5169,-13.0499,Oumou Elghoura
